Data as of 2021-01-03
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,4 Week Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETFdb Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETFdb Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
VB,Vanguard Small Cap ETF,Equity,"$37,003,600,000","803,682",$194.68,false,false,false,false,-0.62%,5.65%,19.19%,19.19%,37.59%,87.62%,$55.400249,$512.687002,$0.0,"$4,115.822361","$7,051.757846","$12,489.705937",Small Cap Growth Equities,2004-01-30,0.05%,$2.22,2020-12-24,$0.89,1.14%,Quarterly,21.28%,23.3,1.24,90.86%,12.69%,19.51%,19.29%,Vanguard,"1,407",5.47%,7.02%,16.01%,35%,15%,1099,$184.46,$198.20,$193.30,$195.63,67.77,A,A,A-,A-,A,A-,A-,4.51,40.47%,23.19%,133.43,4.77%,6.49%
BNDX,Vanguard Total International Bond ETF,Bond,"$37,139,100,000","2,971,511",$58.55,false,false,false,false,0.15%,0.43%,4.64%,4.64%,15.94%,24.30%,$225.667781,"$1,750.712822",$0.0,"$11,817.945525","$26,670.353928","$31,336.407163",Total Bond Market,2013-06-04,0.09%,$0.65,2020-12-23,$0.14,1.11%,Monthly,0.85%,N/A,0.03,13.48%,2.05%,2.56%,2.34%,Vanguard,"6,090",7.41%,9.45%,19.64%,35%,15%,1099,$58.27,$58.62,$58.53,$58.57,58.48,A,A-,A,A-,A,A-,N/A,6.37,79.94%,65.91%,100.44,1.69%,1.07%
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$36,077,500,000","2,822,597",$83.25,false,false,false,false,0.16%,0.42%,5.13%,5.13%,13.26%,18.70%,$149.406097,$996.39314,$0.0,"$9,643.123563","$13,179.52891","$23,949.356901",Corporate Bonds,2009-11-23,0.05%,$1.89,2020-12-23,$0.13,2.27%,Monthly,2.00%,N/A,0.08,29.52%,0.80%,0.93%,0.94%,Vanguard,"2,289",2.61%,3.60%,9.48%,35%,15%,1099,$82.78,$83.25,$83.22,$83.27,73.85,A,A,B-,A-,A,B-,A,6.3,59.89%,63.95%,182.63,7.47%,3.09%
USMV,iShares Edge MSCI Min Vol USA ETF,Equity,"$33,119,900,000","3,125,834",$67.88,false,false,true,false,1.15%,2.07%,5.63%,5.63%,36.68%,77.82%,-$67.18661,-$604.01956,$0.0,"-$4,501.2612","$12,146.75207","$17,109.619528",Large Cap Growth Equities,2011-10-18,0.15%,$1.23,2020-12-14,$0.30,1.83%,Quarterly,4.28%,24.98,0.72,207.00%,7.59%,13.04%,13.94%,iShares,188,15.01%,21.94%,56.48%,35%,15%,1099,$66.22,$67.72,$67.36,$68.18,61.56,A,A-,A-,A-,A+,A,B,5.99,80.52%,53.71%,320.49,8.27%,9.91%
IVW,iShares S&P 500 Growth ETF,Equity,"$32,241,200,000","1,836,802",$63.82,false,false,true,false,1.25%,2.99%,32.94%,32.94%,73.94%,133.79%,-$12.53955,-$177.3673,$0.0,-$806.011485,-$977.303985,-$127.607682,Large Cap Growth Equities,2000-05-22,0.18%,$1.25,2020-12-14,$0.14,1.97%,Quarterly,6.63%,35.21,0.98,179.45%,9.06%,17.39%,20.64%,iShares,232,49.62%,56.01%,76.84%,35%,15%,1099,$61.31,$64.03,$63.49,$64.03,64.5,A,A-,A,C+,A,B+,B+,4.54,12.49%,23.67%,68.11,3.25%,3.65%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$32,039,200,000","1,381,160",$86.22,false,false,false,false,0.81%,2.97%,20.71%,20.71%,49.49%,102.45%,$107.261515,$184.52253,$0.0,"$1,910.49045","$10,858.99172","$18,333.250838",Large Cap Growth Equities,2004-01-20,0.03%,$1.22,2020-12-14,$0.34,1.42%,Quarterly,8.00%,24.5,1.04,211.57%,8.17%,15.39%,17.41%,iShares,"3,588",22.74%,27.13%,44.85%,35%,15%,1099,$83.41,$86.45,$85.78,$86.51,67.73,A,A,B-,B-,A,A-,A,4.99,27.28%,30.02%,137.74,6.35%,5.41%
IAU,iShares Gold Trust,Commodity,"$31,611,100,000","19,718,332",$18.13,false,false,false,false,1.17%,3.25%,25.03%,25.03%,44.92%,77.22%,$92.87,$67.122,$0.0,"$9,458.716","$14,861.7845","$18,606.1635",Precious Metals,2005-01-28,0.25%,$0.00,N/A,N/A,0.00%,N/A,1.33%,N/A,0.02,84.86%,11.39%,16.89%,18.86%,iShares,1,100.00%,100.00%,100.00%,35%,28%,1099,$17.38,$18.16,$18.06,$18.17,56.9,A,A,B+,B+,A-,B-,C,N/A,N/A,N/A,N/A,N/A,N/A
VYM,Vanguard High Dividend Yield ETF,Equity,"$30,932,800,000","1,607,057",$91.51,false,false,true,false,1.25%,1.71%,1.14%,1.14%,18.05%,59.27%,$47.585094,$513.635585,$0.0,"$1,769.391465","$8,158.199176","$13,839.180903",Large Cap Blend Equities,2006-11-16,0.06%,$3.69,2020-12-21,$0.81,4.06%,Quarterly,6.86%,19.6,0.91,241.64%,10.33%,18.55%,17.11%,Vanguard,418,24.19%,33.18%,67.32%,35%,15%,1099,$89.76,$91.45,$90.77,$91.94,62.0,A,A,A-,B+,A+,A,A-,6.01,51.35%,54.35%,341.38,10.06%,4.52%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$30,547,600,000","4,175,642",$84.93,false,false,false,false,1.25%,1.38%,-4.61%,-4.61%,15.55%,30.46%,$169.032013,$725.787101,$0.0,"-$1,978.366057","-$3,096.26672","$3,172.824234",Real Estate,2004-09-23,0.12%,$3.34,2020-12-24,$1.34,3.97%,Quarterly,7.53%,38.2,0.80,305.01%,14.99%,19.12%,20.22%,Vanguard,181,46.52%,54.50%,81.35%,35%,15%,1099,$82.68,$85.10,$83.87,$85.52,56.94,A,A,A-,B,A,B+,A,4.0,76.47%,11.44%,126.14,0.76%,12.12%
VEU,Vanguard FTSE All-World ex-US ETF,Equity,"$29,441,900,000","2,541,180",$58.36,false,false,false,false,1.34%,2.78%,11.09%,11.09%,16.15%,53.67%,$0.059893,$418.088755,$0.0,"$1,194.430954","$4,264.613194","$10,045.740003",Foreign Large Cap Equities,2007-03-08,0.09%,$1.75,2020-12-21,$0.45,2.98%,Quarterly,5.16%,19.4,0.88,215.76%,9.54%,16.32%,15.46%,Vanguard,"3,164",11.06%,13.86%,26.47%,35%,15%,1099,$56.39,$58.67,$58.16,$58.64,65.11,A,A,A-,B-,A,B,A,6.43,15.03%,67.80%,181.45,8.02%,6.24%
BSV,Vanguard Short-Term Bond ETF,Bond,"$29,281,100,000","1,902,922",$82.90,false,false,false,false,0.05%,0.23%,4.70%,4.70%,11.39%,14.27%,$82.77,$786.719,$0.0,"$6,149.641703","$4,336.884703","$10,987.376703",Total Bond Market,2007-04-10,0.07%,$1.48,2020-12-23,$0.10,1.79%,Monthly,1.16%,N/A,-0.01,3.10%,0.61%,0.73%,0.71%,Vanguard,"2,627",12.06%,16.44%,37.74%,35%,15%,1099,$82.67,$82.90,N/A,N/A,66.99,A,A-,A-,A,A,B-,A,6.55,64.39%,70.80%,155.98,2.05%,0.84%
EEM,iShares MSCI Emerging Markets ETF,Equity,"$27,765,400,000","43,871,516",$51.67,false,false,false,false,3.07%,3.72%,17.01%,17.01%,17.16%,77.73%,$0.0,$293.03469,$0.0,"-$4,624.090065","-$11,602.68426","-$4,254.99354",Emerging Markets Equities,2003-04-11,0.68%,$0.75,2020-12-14,$0.52,1.45%,Semi-Annually,4.93%,17.55,0.87,222.11%,13.36%,17.12%,16.73%,iShares,"1,205",27.90%,31.87%,46.73%,35%,15%,1099,$49.45,$51.50,$51.35,$51.99,65.51,A+,B-,B+,B-,A-,B+,A,4.75,30.61%,26.75%,258.71,2.35%,4.97%
TIP,iShares TIPS Bond ETF,Bond,"$26,295,300,000","2,433,638",$127.65,false,false,false,false,0.31%,0.97%,10.84%,10.84%,18.38%,26.19%,$63.59063,$835.70639,$0.0,"$3,701.024",$71.96741,"$9,512.914192",Inflation-Protected Bonds,2003-12-04,0.19%,$1.49,2020-12-17,$0.02,1.17%,Monthly,3.98%,N/A,0.07,25.59%,1.98%,2.75%,2.96%,iShares,48,50.27%,65.13%,100.01%,35%,15%,1099,$126.23,$127.63,$127.47,$127.76,70.82,A+,B,B+,B,A-,B,A-,6.58,88.31%,72.24%,0.0,0.00%,0.00%
IWB,iShares Russell 1000 ETF,Equity,"$25,741,400,000","641,689",$211.84,false,false,false,false,1.00%,2.83%,20.77%,20.77%,50.52%,103.06%,-$10.35765,-$20.585405,$0.0,-$681.243285,"-$2,738.67051","-$2,076.412909",Large Cap Growth Equities,2000-05-15,0.15%,$2.90,2020-12-14,$0.79,1.37%,Quarterly,19.40%,24.84,1.03,212.07%,8.01%,15.43%,17.34%,iShares,"1,018",24.59%,29.27%,48.41%,35%,15%,1099,$205.12,$212.01,$210.79,$212.53,67.52,A,A-,B-,C+,A-,B+,A,5.07,33.20%,31.43%,139.32,6.46%,5.36%
